order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
17,1,nearest,Off-Peak,Full Multimodal,0.8495,0.4247,1274.18,0.051,road
17,1,nearest,Peak,Road Only,2.1236,0.4247,1274.18,0.051,road
17,1,nearest,Peak,Road + Metro,2.1236,0.4247,1274.18,0.051,road
17,1,nearest,Peak,Road + Waterbus,2.1236,0.4247,1274.18,0.051,road
17,1,nearest,Peak,Full Multimodal,2.1236,0.4247,1274.18,0.051,road
17,1,centralized,Off-Peak,Central Road Only,0.8495,0.4247,1274.18,0.051,road
17,1,centralized,Off-Peak,Central Road + Metro,0.8495,0.4247,1274.18,0.051,road
17,1,centralized,Off-Peak,Central Road + Waterbus,0.8495,0.4247,1274.18,0.051,road
17,1,centralized,Off-Peak,Central Full Multimodal,0.8495,0.4247,1274.18,0.051,road
17,1,centralized,Peak,Central Road Only,2.1236,0.4247,1274.18,0.051,road
17,1,centralized,Peak,Central Road + Metro,2.1236,0.4247,1274.18,0.051,road
17,1,centralized,Peak,Central Road + Waterbus,2.1236,0.4247,1274.18,0.051,road
17,1,centralized,Peak,Central Full Multimodal,2.1236,0.4247,1274.18,0.051,road
18,1,nearest,Off-Peak,Road Only,2.3434,1.1717,3515.17,0.1406,road
18,1,nearest,Off-Peak,Road + Metro,2.3434,1.1717,3515.17,0.1406,road
18,1,nearest,Off-Peak,Road + Waterbus,2.3434,1.1717,3515.17,0.1406,road
18,1,nearest,Off-Peak,Full Multimodal,2.3434,1.1717,3515.17,0.1406,road
18,1,nearest,Peak,Road Only,5.8586,1.1717,3515.17,0.1406,road
18,1,nearest,Peak,Road + Metro,5.8586,1.1717,3515.17,0.1406,road
18,1,nearest,Peak,Road + Waterbus,5.8586,1.1717,3515.17,0.1406,road
18,1,nearest,Peak,Full Multimodal,5.8586,1.1717,3515.17,0.1406,road
18,1,centralized,Off-Peak,Central Road Only,2.3434,1.1717,3515.17,0.1406,road
